data,chuvas_previstas_mm,chuvas_reais_mm,temperatura_media_C,variacao_climatica,indice_umidade_solo,volume_producao_tons,incidencia_doencas,acesso_agua_potavel,indicador_seguranca_alimentar
2025-02-18,63.1,110.8,31.7,não,59.8,6.11,5.0,não,73.3
2025-02-19,72.7,91.6,31.7,não,66.8,3.04,2.0,sim,74.4
2025-02-20,114.0,95.7,23.9,sim,26.4,0.88,5.0,não,22.1
2025-02-21,87.7,110.0,25.6,não,37.3,13.74,2.0,não,21.4
2025-02-22,197.7,171.4,28.8,sim,64.1,4.63,2.0,sim,19.9
2025-02-23,20.4,11.2,24.1,sim,80.3,5.68,4.0,não,14.3
2025-02-24,41.8,40.4,25.6,não,53.5,10.09,2.0,sim,37.7
2025-02-25,32.3,106.1,23.0,não,32.6,1.54,4.0,não,2.7
2025-02-26,130.6,115.7,26.9,não,12.4,11.7,5.0,sim,11.1
2025-02-28,93.3,91.3,32.0,não,10.6,11.99,0.0,não,80.0
2025-03-01,48.9,35.6,21.2,não,39.8,14.15,1.0,não,8.1
2025-03-02,31.8,54.3,27.8,sim,52.4,2.5,3.0,não,23.2
2025-03-03,22.1,0.5,24.6,não,83.8,8.57,2.0,não,20.8
2025-03-05,27.6,18.8,34.4,não,42.5,500.0,100.0,sim,71.1
2025-03-06,39.3,29.3,29.7,sim,11.9,1.47,0.0,não,55.4
2025-03-07,73.7,112.3,20.5,não,37.4,10.95,1.0,sim,30.5
2025-03-08,164.2,183.2,26.5,não,59.8,13.44,2.0,não,83.5
2025-03-09,19.4,21.2,27.7,sim,32.3,10.54,3.0,sim,43.5
2025-03-10,167.6,143.1,28.0,não,26.8,18.92,0.0,sim,92.3
2025-03-11,19.2,36.1,30.2,sim,19.3,11.94,2.0,não,70.6
2025-03-12,195.3,175.3,24.2,sim,56.2,18.12,3.0,não,47.8
2025-03-14,195.4,219.2,25.9,não,63.8,3.22,1.0,sim,97.6
2025-03-15,121.0,106.1,45.0,não,100.0,16.24,3.0,sim,16.0
2025-03-16,147.9,166.3,22.8,sim,10.2,8.25,4.0,não,20.3
2025-03-18,56.6,73.7,28.2,sim,58.0,18.59,3.0,sim,40.4
2025-03-19,24.0,11.0,26.9,sim,57.1,7.28,3.0,não,14.7
2025-03-20,59.2,38.5,33.2,sim,87.0,15.14,3.0,sim,72.9
2025-03-21,23.7,37.3,26.9,não,11.3,14.66,6.0,não,18.9
2025-03-22,63.6,47.5,30.9,sim,65.7,17.72,1.0,sim,64.4
2025-03-24,12.8,3.7,33.6,sim,50.8,15.14,1.0,sim,21.1
2025-03-25,138.5,138.8,30.4,sim,36.7,7.3,0.0,não,60.1
2025-03-28,104.6,91.7,31.4,não,45.4,8.85,1.0,sim,59.7
2025-03-29,18.8,-25.7,29.5,sim,51.6,19.31,2.0,não,29.5
2025-03-30,115.2,127.7,23.6,não,65.5,10.78,1.0,não,73.2
2025-03-31,185.9,153.9,22.4,sim,17.3,12.62,2.0,não,94.5
2025-04-01,63.7,41.6,31.9,não,52.849999999999994,2.74,4.0,não,42.6
2025-04-02,133.5,134.5,34.4,não,42.8,19.02,3.0,sim,78.2
2025-04-03,26.4,11.6,26.9,sim,59.9,9.27,3.0,sim,5.6
2025-04-04,143.3,174.2,28.9,sim,81.0,11.78,1.0,sim,83.5
2025-04-05,57.9,32.0,32.9,não,59.5,8.46,1.0,não,19.2
2025-04-06,36.6,41.9,26.9,sim,20.7,10.78,4.0,sim,39.5
2025-04-07,117.3,116.5,34.3,sim,88.4,2000.0,300.0,não,30.0
2025-04-08,4.0,-19.4,28.6,sim,79.7,11.69,0.0,sim,8.0
2025-04-09,165.8,106.1,32.3,sim,50.2,0.56,0.0,não,90.5
2025-04-10,0.9,-2.5,33.6,não,83.8,12.53,0.0,sim,37.0
2025-04-11,135.6,151.0,32.2,não,53.3,6.87,1.0,não,53.1
2025-04-12,54.0,70.5,22.4,não,83.9,10.78,0.0,não,49.4
2025-04-13,147.0,190.3,29.4,sim,76.4,17.78,3.0,sim,13.2
2025-04-14,192.4,219.1,26.0,não,87.5,7.47,2.0,não,20.6
2025-04-15,49.8,42.4,20.9,não,83.6,18.22,3.0,sim,7.6
2025-04-16,115.2,110.4,26.4,não,12.9,12.66,1.0,sim,50.8
2025-04-17,118.4,140.4,23.9,sim,24.0,0.81,1.0,sim,26.2
2025-04-18,114.5,127.6,32.7,sim,52.849999999999994,18.62,1.0,sim,35.7
2025-04-19,44.6,57.4,20.5,não,86.2,13.97,4.0,não,10.8
2025-04-20,190.5,158.2,34.4,não,34.0,19.95,1.0,sim,78.8
2025-04-22,169.3,154.5,25.4,sim,80.9,3.17,1.0,não,98.6
2025-04-23,139.9,145.5,20.2,sim,45.7,18.69,0.0,não,17.7
2025-04-24,59.5,57.5,22.8,não,82.6,14.09,1.0,sim,57.2
2025-04-25,162.8,181.0,26.0,sim,22.8,1.79,2.0,não,4.5
2025-04-26,79.3,85.6,33.9,sim,62.9,10.78,3.0,não,78.7
2025-04-27,176.2,191.9,21.5,não,45.2,15.2,2.0,não,19.0
2025-04-28,116.3,107.0,34.2,sim,16.1,10.78,2.0,sim,52.8
2025-04-29,176.3,157.4,33.0,não,65.7,14.37,2.0,sim,74.0
